qid,query,doc_id,relevance
9,oil prices global market,350,1
9,oil prices global market,462,1
9,oil prices global market,61,1
9,oil prices global market,440,1
9,oil prices global market,4,1
9,oil prices global market,78,1

10,coronavirus vaccination update,1688,0
10,coronavirus vaccination update,1696,0
10,coronavirus vaccination update,218,0
10,coronavirus vaccination update,862,0
10,coronavirus vaccination update,930,0
10,coronavirus vaccination update,1012,0
10,coronavirus vaccination update,810,0
10,coronavirus vaccination update,199,0
10,coronavirus vaccination update,2495,0
10,coronavirus vaccination update,637,0

11,Technology startup funding,250,0
11,Technology startup funding,924,0
11,Technology startup funding,856,0
11,Technology startup funding,890,0
11,Technology startup funding,2691,1
11,Technology startup funding,564,0
11,Technology startup funding,417,0
11,Technology startup funding,2663,0
11,Technology startup funding,2681,0
11,Technology startup funding,2539,0

12,Cyber crime hacking case,739,1
12,Cyber crime hacking case,564,1
12,Cyber crime hacking case,634,1
12,Cyber crime hacking case,653,0
12,Cyber crime hacking case,2173,0
12,Cyber crime hacking case,550,1
12,Cyber crime hacking case,521,1
12,Cyber crime hacking case,203,0
12,Cyber crime hacking case,1846,0
12,Cyber crime hacking case,577,0

13,traffic accident casualities,2689,1
13,traffic accident casualities,2671,1
13,traffic accident casualities,983,0
13,traffic accident casualities,2558,0
13,traffic accident casualities,561,0
13,traffic accident casualities,1259,0
13,traffic accident casualities,721,0
13,traffic accident casualities,926,1
13,traffic accident casualities,892,1
13,traffic accident casualities,858,1

14,supreme court verdict case,601,1
14,supreme court verdict case,2264,1
14,supreme court verdict case,1544,1
14,supreme court verdict case,2173,1
14,supreme court verdict case,925,1
14,supreme court verdict case,891,1
14,supreme court verdict case,857,1
14,supreme court verdict case,2320,0
14,supreme court verdict case,2172,1
14,supreme court verdict case,412,1

15,global warming climate change,426,0
15,global warming climate change,387,0
15,global warming climate change,761,0
15,global warming climate change,320,1
15,global warming climate change,2683,1
15,global warming climate change,2665,1
15,global warming climate change,2592,0
15,global warming climate change,1961,0
15,global warming climate change,639,1
15,global warming climate change,2613,0

16,railway train service issues,83,1
16,railway train service issues,987,1
16,railway train service issues,205,1
16,railway train service issues,124,1
16,railway train service issues,2663,0
16,railway train service issues,2681,0
16,railway train service issues,2606,1
16,railway train service issues,2577,1
16,railway train service issues,2611,1
16,railway train service issues,661,0

17,public health disease outbreak,1751,1
17,public health disease outbreak,2023,1
17,public health disease outbreak,436,1
17,public health disease outbreak,1884,0
17,public health disease outbreak,1924,0
17,public health disease outbreak,1668,0
17,public health disease outbreak,519,0
17,public health disease outbreak,1948,0
17,public health disease outbreak,759,0
17,public health disease outbreak,365,0

18,business merger acquisition,2508,1
18,business merger acquisition,2498,0
18,business merger acquisition,2605,0
18,business merger acquisition,972,1
18,business merger acquisition,768,1
18,business merger acquisition,2539,0
18,business merger acquisition,87,0
18,business merger acquisition,112,0
18,business merger acquisition,2684,0
18,business merger acquisition,2666,0

19,child labour human rights case,1616,0
19,child labour human rights case,426,0
19,child labour human rights case,2648,0
19,child labour human rights case,617,0
19,child labour human rights case,1160,0
19,child labour human rights case,992,0
19,child labour human rights case,1697,0
19,child labour human rights case,1900,1
19,child labour human rights case,2193,0
19,child labour human rights case,2584,0

20,election campaign rally,2489,1
20,election campaign rally,2511,0
20,election campaign rally,2565,0
20,election campaign rally,2481,0
20,election campaign rally,2493,0
20,election campaign rally,2478,1
20,election campaign rally,2503,0
20,election campaign rally,1306,0
20,election campaign rally,2539,0
20,election campaign rally,2483,0
